1,Introducao a Programacao,Joao Silva,Informática,Editora X,350,2020
2,Aprendendo C,Maria Oliveira,Informatica,Editora Y,450,2018
3,Fisica para Iniciantes,Pedro Almeida,Academia,Editora Z,500,2015
4,Historia do Brasil,Luis Souza,Historia,Editora A,300,2010
5,Redes de Computadores,Carlos Tannenbaum,Informatica,Editora B,400,2012
6,Matematica para Todos,Mariana Santos,Matematica,Editora C,320,2017
7,Psicologia Moderna,Andre Costa,Psicologia,Editora D,280,2016
8,A Arte da Guerra,Suntzu,Historia,Editora E,180,2005
9,Algoritmos Avancados,Fernando Lima,Informatica,Editora F,420,2019
10,Programacao C++,Roberta Ferreira,Informatica,Editora G,370,2021
11,O Poder do Habito,Charles Duhigg,Psicologia,Editora H,350,2012
12,A Revolucao dos Bichos,George Orwell,Romance,Editora I,250,1945
13,O Senhor dos Aneis,J.R.R. Tolkien,Fantasia,Editora J,1200,1954
14,1984,George Orwell,Distopia,Editora K,328,1949
15,O Codigo Da Vinci,Dan Brown,Thriller,Editora L,500,2003
16,Engenharia de Software,James Martin,Informatica,Editora M,450,1999
17,A Guerra dos Tronos,George R.R. Martin,Fantasia,Editora N,800,1996
18,Pequeno Principe,Antoine de Saint-Exupery,Infantil,Editora O,96,1943
19,Principe Maquiavel,Nicolau Maquiavel,Politica,Editora P,220,1532
20,Crime e Castigo,Fiodor Dostoiévski,Romance,Editora Q,650,1866
21,O Hobbit,J.R.R. Tolkien,Fantasia,Editora R,320,1937
22,O Lobo de Wall Street,Jordan Belfort,Memorias,Editora S,500,2007
23,Mundo Pos-Apocaliptico,John Smith,Distopia,Editora T,380,2014
24,Introducao a Fisica,Henrique Costa,Academia,Editora U,400,2002
25,Historia Antiga,Isabela Martins,Historia,Editora V,320,2010
26,A Arte de Programar,Alan Turing,Informatica,Editora W,450,1950
27,Como Fazer Amigos,Carnegie Dale,Psicologia,Editora X,350,1936
28,O Silencio dos Inocentes,Thomas Harris,Thriller,Editora Y,450,1988
29,Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,Editora Z,350,1997
30,Software Design Patterns,Erich Gamma,Informatica,Editora A,520,1994
31,Memorias Postumas de Bras Cubas,Machado de Assis,Classico,Editora B,300,1881
32,O Conto da Aia,Margaret Atwood,Distopia,Editora C,400,1985
33,Fundamentos de C++,Bjarne Stroustrup,Informatica,Editora D,600,1997
34,Aprendendo JavaScript,Jose Almeida,Informatica,Editora E,350,2015
35,O Guia do Mochileiro das Galaxias,Douglas Adams,Ficcao Cientifica,Editora F,350,1979
36,A Biblia,Desconhecido,Religiao,Editora G,1000,50
37,Dracula,Bram Stoker,Fantasia,Editora H,400,1897
38,Conceitos de Matematica,Renata Souza,Matematica,Editora I,350,2012
39,Inteligencia Emocional,Daniel Goleman,Psicologia,Editora J,400,1995
40,A Fuga de Alcatraz,Frank Morris,Aventura,Editora K,320,1962
41,Fundamentos de Banco de Dados,Elmasri,Navathe,Informatica,Editora L,550,2010
42,Desenvolvimento de Jogos,Michael Morrison,Informatica,Editora M,380,2016
43,Codigos e Cifras,David Kahn,Historia,Editora N,420,1996
44,Alquimia e Magia,Michael Moorcock,Fantasia,Editora O,500,2003
45,Os Miseraveis,Victor Hugo,Romance,Editora P,1400,1862
46,A Biblia de Programacao,David Gries,Informatica,Editora Q,700,1991
47,Os Irmaos Karamazov,Fiodor Dostoiévski,Romance,Editora R,850,1880
48,Segredos da Mente,Carl Jung,Psicologia,Editora S,420,1953
49,Introducao a Analise de Sistemas,Louis O. Kelso,Informatica,Editora T,350,1998
50,A Arte do Guerreiro,Carlos Castaneda,Filosofia,Editora U,300,1973
